Model,Q-MEAN_DisCo_Global
Mod-2best_unsupervised_0.pdb,/media/pc2/Data/Modalpha/Bioinformatic_tools_Section/Google_Chrome_Selenium_Web_Bot
Mod-2best_unsupervised_1.pdb,0.67 ± 0.08
Mod-2best_unsupervised_2.pdb,0.69 ± 0.08
Mod-2best_unsupervised_3.pdb,0.66 ± 0.08
Mod-2best_unsupervised_4.pdb,0.66 ± 0.08
