Model,PROSA
Mod-2best_unsupervised_0.pdb,-7.65
Mod-2best_unsupervised_1.pdb,-7.65
Mod-2best_unsupervised_2.pdb,-7.75
Mod-2best_unsupervised_3.pdb,-7.68
Mod-2best_unsupervised_4.pdb,-7.64
