Model,PROCHECK
Mod-2best_unsupervised_0.pdb,96.9|3.1|0.0|0.0
Mod-2best_unsupervised_1.pdb,98.0|2.0|0.0|0.0
Mod-2best_unsupervised_2.pdb,98.0|2.0|0.0|0.0
Mod-2best_unsupervised_3.pdb,98.0|2.0|0.0|0.0
Mod-2best_unsupervised_4.pdb,98.0|1.0|1.0|0.0
