Model,Q-MEAN_DisCo_Global
Mod-2best_supervised_0.pdb,/media/pc2/Data/Modalpha/Bioinformatic_tools_Section/Google_Chrome_Selenium_Web_Bot
Mod-2best_supervised_1.pdb,0.76 ± 0.06
Mod-2best_supervised_2.pdb,0.76 ± 0.06
Mod-2best_supervised_3.pdb,0.76 ± 0.06
Mod-2best_supervised_4.pdb,0.74 ± 0.06
