Model,Q-MEAN_DisCo_Global
Mod-2best_supervised_0.pdb,0.76
Mod-2best_supervised_1.pdb,0.75
Mod-2best_supervised_2.pdb,0.74
Mod-2best_supervised_3.pdb,0.76
Mod-2best_supervised_4.pdb,0.76
