Model,Q-MEAN_DisCo_Global
ranked_0.pdb,/media/pc7/Data/Fabio/Modalpha/Bioinformatic_tools_Section/Google_Chrome_Selenium_Web_Bot
ranked_1.pdb,0.81 ± 0.06
ranked_2.pdb,0.83 ± 0.06
ranked_3.pdb,0.59 ± 0.06
ranked_4.pdb,0.58 ± 0.06
