Model,PROSA
Mod-2best_unsupervised_0.pdb,-6.06
Mod-2best_unsupervised_1.pdb,-6.04
Mod-2best_unsupervised_2.pdb,-6.1
Mod-2best_unsupervised_3.pdb,-6.07
Mod-2best_unsupervised_4.pdb,-6.1
