Model,Q-MEAN_DisCo_Global
Mod-2best_supervised_0.pdb,0.82
Mod-2best_supervised_1.pdb,0.82
Mod-2best_supervised_2.pdb,0.81
Mod-2best_supervised_3.pdb,0.81
Mod-2best_supervised_4.pdb,0.82
