Model,PROCHECK
Mod-5ranked_unsupervised_0.pdb,93.3|4.5|2.2|0.0
Mod-5ranked_unsupervised_1.pdb,92.1|5.6|2.2|0.0
Mod-5ranked_unsupervised_2.pdb,93.3|4.5|2.2|0.0
Mod-5ranked_unsupervised_3.pdb,91.0|6.7|2.2|0.0
Mod-5ranked_unsupervised_4.pdb,92.1|4.5|3.4|0.0
