Model,MOLPROBITY
Mod-5ranked_unsupervised_0.pdb,2.16
Mod-5ranked_unsupervised_1.pdb,2.39
Mod-5ranked_unsupervised_2.pdb,2.02
Mod-5ranked_unsupervised_3.pdb,2.36
Mod-5ranked_unsupervised_4.pdb,2.25
