Model,PROSA
Mod-5ranked_unsupervised_0.pdb,-8.35
Mod-5ranked_unsupervised_1.pdb,-8.45
Mod-5ranked_unsupervised_2.pdb,-8.32
Mod-5ranked_unsupervised_3.pdb,-8.27
Mod-5ranked_unsupervised_4.pdb,-8.6
