Model,PROSA
Mod-5ranked_unsupervised_0.pdb,-5.31
Mod-5ranked_unsupervised_1.pdb,-5.52
Mod-5ranked_unsupervised_2.pdb,-5.54
Mod-5ranked_unsupervised_3.pdb,-5.48
Mod-5ranked_unsupervised_4.pdb,-5.34
