Model,PROCHECK
Mod-5ranked_unsupervised_0.pdb,91.8|8.2|0.0|0.0
Mod-5ranked_unsupervised_1.pdb,89.4|7.1|1.2|2.4
Mod-5ranked_unsupervised_2.pdb,92.9|7.1|0.0|0.0
Mod-5ranked_unsupervised_3.pdb,94.1|5.9|0.0|0.0
Mod-5ranked_unsupervised_4.pdb,94.1|3.5|2.4|0.0
