Model,MOLPROBITY
Mod-5ranked_unsupervised_0.pdb,2.43
Mod-5ranked_unsupervised_1.pdb,2.47
Mod-5ranked_unsupervised_2.pdb,2.56
Mod-5ranked_unsupervised_3.pdb,2.60
Mod-5ranked_unsupervised_4.pdb,2.66
