Model,MOLPROBITY
Mod-2best_supervised_0.pdb,2.16
Mod-2best_supervised_1.pdb,2.20
Mod-2best_supervised_2.pdb,2.10
Mod-2best_supervised_3.pdb,2.11
Mod-2best_supervised_4.pdb,2.11
