Model,MOLPROBITY
Mod-2best_unsupervised_0.pdb,2.27
Mod-2best_unsupervised_1.pdb,2.00
Mod-2best_unsupervised_2.pdb,2.02
Mod-2best_unsupervised_3.pdb,2.19
Mod-2best_unsupervised_4.pdb,2.15
