Model,MOLPROBITY
Mod-2best_unsupervised_0.pdb,2.03
Mod-2best_unsupervised_1.pdb,2.05
Mod-2best_unsupervised_2.pdb,2.25
Mod-2best_unsupervised_3.pdb,2.13
Mod-2best_unsupervised_4.pdb,2.01
