7BXT-D1,ranked,ranked_0,1.694
7BXT-D1,Mod-5ranked,Mod-5ranked_unsupervised_0,2.210
7BXT-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_0,3.768
7BXT-D1,ranked,ranked_1,1.148
7BXT-D1,Mod-5ranked,Mod-5ranked_unsupervised_1,4.932
7BXT-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_1,2.706
7BXT-D1,ranked,ranked_2,1.127
7BXT-D1,Mod-5ranked,Mod-5ranked_unsupervised_2,1.958
7BXT-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_2,2.072
7BXT-D1,ranked,ranked_3,1.965
7BXT-D1,Mod-5ranked,Mod-5ranked_unsupervised_3,1.805
7BXT-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_3,4.584
7BXT-D1,ranked,ranked_4,2.072
7BXT-D1,Mod-5ranked,Mod-5ranked_unsupervised_4,2.134
7BXT-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_4,5.354
