Model,Q-MEAN_DisCo_Global
Mod-2best_supervised_0.pdb,/media/pc7/Data/Fabio/Modalpha/Bioinformatic_tools_Section/Google_Chrome_Selenium_Web_Bot
Mod-2best_supervised_1.pdb,0.79 ± 0.07
Mod-2best_supervised_2.pdb,0.80 ± 0.07
Mod-2best_supervised_3.pdb,0.80 ± 0.07
Mod-2best_supervised_4.pdb,0.78 ± 0.07
