Model,Q-MEAN_DisCo_Global
Mod-2best_unsupervised_0.pdb,0.48
Mod-2best_unsupervised_1.pdb,0.54
Mod-2best_unsupervised_2.pdb,0.52
Mod-2best_unsupervised_3.pdb,0.52
Mod-2best_unsupervised_4.pdb,0.51
