Model,PROCHECK
Mod-2best_supervised_0.pdb,92.6|6.9|0.0|0.4
Mod-2best_supervised_1.pdb,93.5|6.1|0.0|0.4
Mod-2best_supervised_2.pdb,92.2|7.4|0.0|0.4
Mod-2best_supervised_3.pdb,93.1|6.1|0.9|0.0
Mod-2best_supervised_4.pdb,93.1|6.9|0.0|0.0
