Model,MOLPROBITY
Mod-2best_supervised_0.pdb,2.74
Mod-2best_supervised_1.pdb,2.90
Mod-2best_supervised_2.pdb,2.65
Mod-2best_supervised_3.pdb,2.95
Mod-2best_supervised_4.pdb,2.44
