Model,PROSA
Mod-2best_supervised_0.pdb,-6.91
Mod-2best_supervised_1.pdb,-6.92
Mod-2best_supervised_2.pdb,-6.88
Mod-2best_supervised_3.pdb,-7.04
Mod-2best_supervised_4.pdb,-6.62
