Model,PROCHECK
ranked_0.pdb,91.1|8.1|0.8|0.0
ranked_1.pdb,90.2|9.8|0.0|0.0
ranked_2.pdb,92.7|7.3|0.0|0.0
ranked_3.pdb,95.1|4.9|0.0|0.0
ranked_4.pdb,87.8|12.2|0.0|0.0
