Model,Q-MEAN_DisCo_Global
Mod-2best_unsupervised_0.pdb,/media/pc7/Data/Fabio/Modalpha/Bioinformatic_tools_Section/Google_Chrome_Selenium_Web_Bot
Mod-2best_unsupervised_1.pdb,0.80 ± 0.07
Mod-2best_unsupervised_2.pdb,0.80 ± 0.07
Mod-2best_unsupervised_3.pdb,0.80 ± 0.07
Mod-2best_unsupervised_4.pdb,0.81 ± 0.07
