Model,PROCHECK
Mod-2best_supervised_0.pdb,94.8|5.2|0.0|0.0
Mod-2best_supervised_1.pdb,95.7|4.3|0.0|0.0
Mod-2best_supervised_2.pdb,95.2|4.8|0.0|0.0
Mod-2best_supervised_3.pdb,95.2|4.8|0.0|0.0
Mod-2best_supervised_4.pdb,93.9|6.1|0.0|0.0
