Model,PROSA
Mod-2best_unsupervised_0.pdb,-6.34
Mod-2best_unsupervised_1.pdb,-6.14
Mod-2best_unsupervised_2.pdb,-6.16
Mod-2best_unsupervised_3.pdb,-6.3
Mod-2best_unsupervised_4.pdb,-6.22
