Model,PROCHECK
Mod-5ranked_unsupervised_0.pdb,90.6|8.2|1.1|0.2
Mod-5ranked_unsupervised_1.pdb,90.9|7.1|1.1|0.9
Mod-5ranked_unsupervised_2.pdb,91.1|7.6|0.7|0.5
Mod-5ranked_unsupervised_3.pdb,90.6|7.1|1.2|1.1
Mod-5ranked_unsupervised_4.pdb,91.1|7.3|1.4|0.2
