Model,MOLPROBITY
Mod-2best_unsupervised_0.pdb,2.20
Mod-2best_unsupervised_1.pdb,2.77
Mod-2best_unsupervised_2.pdb,2.21
Mod-2best_unsupervised_3.pdb,2.56
Mod-2best_unsupervised_4.pdb,2.48
