Model,PROCHECK
Mod-5ranked_unsupervised_0.pdb,91.1|8.3|0.6|0.0
Mod-5ranked_unsupervised_1.pdb,89.3|10.7|0.0|0.0
Mod-5ranked_unsupervised_2.pdb,93.5|6.5|0.0|0.0
Mod-5ranked_unsupervised_3.pdb,91.7|8.3|0.0|0.0
Mod-5ranked_unsupervised_4.pdb,90.5|7.7|1.2|0.6
