Model,Q-MEAN_DisCo_Global
Mod-2best_supervised_0.pdb,0.84
Mod-2best_supervised_1.pdb,0.83
Mod-2best_supervised_2.pdb,0.84
Mod-2best_supervised_3.pdb,0.83
Mod-2best_supervised_4.pdb,0.84
