7L1K-D1,ranked,ranked_0,0.625
7L1K-D1,Mod-5ranked,Mod-5ranked_unsupervised_0,0.638
7L1K-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_0,0.631
7L1K-D1,ranked,ranked_1,0.623
7L1K-D1,Mod-5ranked,Mod-5ranked_unsupervised_1,0.637
7L1K-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_1,0.650
7L1K-D1,ranked,ranked_2,0.662
7L1K-D1,Mod-5ranked,Mod-5ranked_unsupervised_2,0.669
7L1K-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_2,0.652
7L1K-D1,ranked,ranked_3,0.640
7L1K-D1,Mod-5ranked,Mod-5ranked_unsupervised_3,0.645
7L1K-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_3,0.622
7L1K-D1,ranked,ranked_4,0.649
7L1K-D1,Mod-5ranked,Mod-5ranked_unsupervised_4,0.665
7L1K-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_4,0.643
