Model,PROSA
Mod-2best_supervised_0.pdb,-10.77
Mod-2best_supervised_1.pdb,-10.87
Mod-2best_supervised_2.pdb,-10.64
Mod-2best_supervised_3.pdb,-10.62
Mod-2best_supervised_4.pdb,-10.79
