Model,MOLPROBITY
Mod-2best_supervised_0.pdb,2.27
Mod-2best_supervised_1.pdb,2.00
Mod-2best_supervised_2.pdb,2.02
Mod-2best_supervised_3.pdb,2.19
Mod-2best_supervised_4.pdb,2.15
