Model,PROCHECK
Mod-2best_supervised_0.pdb,96.5|3.5|0.0|0.0
Mod-2best_supervised_1.pdb,95.3|3.5|1.2|0.0
Mod-2best_supervised_2.pdb,97.6|1.2|1.2|0.0
Mod-2best_supervised_3.pdb,96.5|3.5|0.0|0.0
Mod-2best_supervised_4.pdb,97.6|2.4|0.0|0.0
