Model,MOLPROBITY
Mod-2best_unsupervised_0.pdb,2.53
Mod-2best_unsupervised_1.pdb,2.55
Mod-2best_unsupervised_2.pdb,2.26
Mod-2best_unsupervised_3.pdb,2.63
Mod-2best_unsupervised_4.pdb,2.46
