Model,Q-MEAN_DisCo_Global
ranked_0.pdb,/media/pc2/Data/Modalpha/Bioinformatic_tools_Section/Google_Chrome_Selenium_Web_Bot
ranked_1.pdb,0.80 ± 0.06
ranked_2.pdb,0.79 ± 0.06
ranked_3.pdb,0.74 ± 0.06
ranked_4.pdb,0.74 ± 0.06
