Model,PROCHECK
Mod-2best_supervised_0.pdb,95.1|4.0|0.4|0.4
Mod-2best_supervised_1.pdb,96.9|3.1|0.0|0.0
Mod-2best_supervised_2.pdb,96.0|4.0|0.0|0.0
Mod-2best_supervised_3.pdb,97.3|2.2|0.0|0.4
Mod-2best_supervised_4.pdb,96.9|3.1|0.0|0.0
