Model,Q-MEAN_DisCo_Global
Mod-2best_unsupervised_0.pdb,0.76
Mod-2best_unsupervised_1.pdb,0.76
Mod-2best_unsupervised_2.pdb,0.78
Mod-2best_unsupervised_3.pdb,0.77
Mod-2best_unsupervised_4.pdb,0.77
