Model,MOLPROBITY
Mod-2best_supervised_0.pdb,2.27
Mod-2best_supervised_1.pdb,2.52
Mod-2best_supervised_2.pdb,2.27
Mod-2best_supervised_3.pdb,2.69
Mod-2best_supervised_4.pdb,2.34
