Model,Q-MEAN_DisCo_Global
Mod-2best_unsupervised_0.pdb,0.29
Mod-2best_unsupervised_1.pdb,0.32
Mod-2best_unsupervised_2.pdb,0.27
Mod-2best_unsupervised_3.pdb,0.28
Mod-2best_unsupervised_4.pdb,0.29
