7N8I-D1,ranked,ranked_0,0.425
7N8I-D1,Mod-5ranked,Mod-5ranked_unsupervised_0,0.428
7N8I-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_0,0.450
7N8I-D1,ranked,ranked_1,0.452
7N8I-D1,Mod-5ranked,Mod-5ranked_unsupervised_1,0.452
7N8I-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_1,0.496
7N8I-D1,ranked,ranked_2,0.437
7N8I-D1,Mod-5ranked,Mod-5ranked_unsupervised_2,0.475
7N8I-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_2,0.437
7N8I-D1,ranked,ranked_3,0.445
7N8I-D1,Mod-5ranked,Mod-5ranked_unsupervised_3,0.448
7N8I-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_3,0.447
7N8I-D1,ranked,ranked_4,0.436
7N8I-D1,Mod-5ranked,Mod-5ranked_unsupervised_4,0.423
7N8I-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_4,0.451
