Model,Q-MEAN_DisCo_Global
Mod-2best_supervised_0.pdb,0.71
Mod-2best_supervised_1.pdb,0.70
Mod-2best_supervised_2.pdb,0.71
Mod-2best_supervised_3.pdb,0.73
Mod-2best_supervised_4.pdb,0.71
