Model,MOLPROBITY
Mod-5ranked_unsupervised_0.pdb,2.61
Mod-5ranked_unsupervised_1.pdb,2.42
Mod-5ranked_unsupervised_2.pdb,2.11
Mod-5ranked_unsupervised_3.pdb,1.96
Mod-5ranked_unsupervised_4.pdb,2.10
