Model,PROCHECK
Mod-2best_unsupervised_0.pdb,94.3|5.5|0.0|0.2
Mod-2best_unsupervised_1.pdb,94.7|5.0|0.2|0.2
Mod-2best_unsupervised_2.pdb,94.0|5.5|0.2|0.4
Mod-2best_unsupervised_3.pdb,94.7|5.0|0.2|0.2
Mod-2best_unsupervised_4.pdb,94.3|5.3|0.2|0.2
