Model,PROSA
Mod-2best_unsupervised_0.pdb,-6.28
Mod-2best_unsupervised_1.pdb,-6.35
Mod-2best_unsupervised_2.pdb,-6.26
Mod-2best_unsupervised_3.pdb,-6.33
Mod-2best_unsupervised_4.pdb,-6.27
