Model,PROSA
Mod-2best_supervised_0.pdb,-5.84
Mod-2best_supervised_1.pdb,-5.89
Mod-2best_supervised_2.pdb,-5.78
Mod-2best_supervised_3.pdb,-5.95
Mod-2best_supervised_4.pdb,-5.86
