Model,PROSA
Mod-5ranked_unsupervised_0.pdb,-9.73
Mod-5ranked_unsupervised_1.pdb,-9.73
Mod-5ranked_unsupervised_2.pdb,-9.81
Mod-5ranked_unsupervised_3.pdb,-9.83
Mod-5ranked_unsupervised_4.pdb,-9.82
