Model,PROSA
Mod-5ranked_unsupervised_0.pdb,-4.59
Mod-5ranked_unsupervised_1.pdb,-4.42
Mod-5ranked_unsupervised_2.pdb,-4.42
Mod-5ranked_unsupervised_3.pdb,-4.56
Mod-5ranked_unsupervised_4.pdb,-4.46
