Model,PROCHECK
ranked_0.pdb,92.0|7.7|0.3|0.0
ranked_1.pdb,92.6|7.1|0.3|0.0
ranked_2.pdb,92.0|7.4|0.6|0.0
ranked_3.pdb,92.0|7.7|0.3|0.0
ranked_4.pdb,91.7|8.0|0.3|0.0
