Model,MOLPROBITY
Mod-5ranked_unsupervised_0.pdb,2.94
Mod-5ranked_unsupervised_1.pdb,3.04
Mod-5ranked_unsupervised_2.pdb,2.86
Mod-5ranked_unsupervised_3.pdb,2.94
Mod-5ranked_unsupervised_4.pdb,2.83
