Model,Q-MEAN_DisCo_Global
Mod-5ranked_unsupervised_0.pdb,/media/pc2/Data/Modalpha/Bioinformatic_tools_Section/Google_Chrome_Selenium_Web_Bot
Mod-5ranked_unsupervised_1.pdb,0.85 ± 0.05
Mod-5ranked_unsupervised_2.pdb,0.85 ± 0.05
Mod-5ranked_unsupervised_3.pdb,0.85 ± 0.05
Mod-5ranked_unsupervised_4.pdb,0.85 ± 0.05
