Model,PROCHECK
ranked_0.pdb,94.7|4.6|0.4|0.2
ranked_1.pdb,95.4|4.2|0.2|0.2
ranked_2.pdb,94.5|5.1|0.2|0.2
ranked_3.pdb,94.9|4.9|0.0|0.2
ranked_4.pdb,95.4|4.2|0.2|0.2
