Model,MOLPROBITY
Mod-5ranked_unsupervised_0.pdb,2.46
Mod-5ranked_unsupervised_1.pdb,2.48
Mod-5ranked_unsupervised_2.pdb,2.58
Mod-5ranked_unsupervised_3.pdb,2.33
Mod-5ranked_unsupervised_4.pdb,2.66
