Model,PROSA
Mod-2best_unsupervised_0.pdb,-5.11
Mod-2best_unsupervised_1.pdb,-5.11
Mod-2best_unsupervised_2.pdb,-5.14
Mod-2best_unsupervised_3.pdb,-5.12
Mod-2best_unsupervised_4.pdb,-5.12
