Model,Q-MEAN_DisCo_Global
Mod-5ranked_unsupervised_0.pdb,0.59
Mod-5ranked_unsupervised_1.pdb,0.58
Mod-5ranked_unsupervised_2.pdb,0.58
Mod-5ranked_unsupervised_3.pdb,0.58
Mod-5ranked_unsupervised_4.pdb,0.54
