Model,MOLPROBITY
Mod-5ranked_unsupervised_0.pdb,2.54
Mod-5ranked_unsupervised_1.pdb,2.17
Mod-5ranked_unsupervised_2.pdb,2.37
Mod-5ranked_unsupervised_3.pdb,2.52
Mod-5ranked_unsupervised_4.pdb,2.38
