Model,PROCHECK
Mod-5ranked_unsupervised_0.pdb,96.4|3.6|0.0|0.0
Mod-5ranked_unsupervised_1.pdb,96.0|3.6|0.4|0.0
Mod-5ranked_unsupervised_2.pdb,94.7|5.3|0.0|0.0
Mod-5ranked_unsupervised_3.pdb,95.1|4.9|0.0|0.0
Mod-5ranked_unsupervised_4.pdb,95.6|4.4|0.0|0.0
