Model,PROCHECK
ranked_0.pdb,92.1|7.1|0.8|0.0
ranked_1.pdb,92.9|7.1|0.0|0.0
ranked_2.pdb,93.7|5.6|0.8|0.0
ranked_3.pdb,92.1|7.9|0.0|0.0
ranked_4.pdb,91.3|8.7|0.0|0.0
