Model,PROSA
Mod-2best_supervised_0.pdb,-2.97
Mod-2best_supervised_1.pdb,-2.9
Mod-2best_supervised_2.pdb,-2.99
Mod-2best_supervised_3.pdb,-3.01
Mod-2best_supervised_4.pdb,-2.78
