Model,MOLPROBITY
Mod-5ranked_unsupervised_0.pdb,2.00
Mod-5ranked_unsupervised_1.pdb,2.53
Mod-5ranked_unsupervised_2.pdb,2.32
Mod-5ranked_unsupervised_3.pdb,2.21
Mod-5ranked_unsupervised_4.pdb,2.34
