Model,Q-MEAN_DisCo_Global
Mod-2best_supervised_0.pdb,0.58
Mod-2best_supervised_1.pdb,0.59
Mod-2best_supervised_2.pdb,0.62
Mod-2best_supervised_3.pdb,0.61
Mod-2best_supervised_4.pdb,0.57
