Model,PROCHECK
Mod-2best_unsupervised_0.pdb,98.4|1.1|0.5|0.0
Mod-2best_unsupervised_1.pdb,97.8|1.1|0.0|1.1
Mod-2best_unsupervised_2.pdb,97.3|2.2|0.0|0.5
Mod-2best_unsupervised_3.pdb,98.4|1.1|0.5|0.0
Mod-2best_unsupervised_4.pdb,97.8|1.6|0.5|0.0
