Model,PROCHECK
Mod-2best_supervised_0.pdb,95.8|3.6|0.2|0.4
Mod-2best_supervised_1.pdb,95.8|3.6|0.2|0.4
Mod-2best_supervised_2.pdb,95.8|3.6|0.2|0.4
Mod-2best_supervised_3.pdb,95.8|3.6|0.2|0.4
Mod-2best_supervised_4.pdb,96.4|3.2|0.2|0.2
